light_id,location,status,wattage,installation_date,last_maintenance,neighborhood_id
SL-0001,POINT(77.6100 12.9200),operational,150,2020-03-15,2024-01-20 14:30:00,NH-001
SL-0002,POINT(77.6105 12.9205),faulty,150,2019-07-22,2023-12-15 09:15:00,NH-001
SL-0003,POINT(77.6110 12.9210),maintenance_required,200,2018-11-10,2024-02-01 16:45:00,NH-001
SL-0004,POINT(77.6115 12.9215),operational,150,2021-05-18,2024-03-10 11:20:00,NH-001
SL-0005,POINT(77.6120 12.9220),operational,200,2020-09-12,2024-02-28 08:00:00,NH-001
SL-0006,POINT(77.6400 12.9600),operational,150,2019-04-20,2024-01-15 10:30:00,NH-002
SL-0007,POINT(77.6405 12.9605),faulty,200,2020-08-14,2023-11-22 14:45:00,NH-002
SL-0008,POINT(77.6410 12.9610),operational,150,2021-02-28,2024-03-05 09:20:00,NH-002
SL-0009,POINT(77.7400 12.9700),operational,200,2019-12-10,2024-02-18 13:15:00,NH-003
SL-0010,POINT(77.7405 12.9705),maintenance_required,150,2020-06-25,2024-01-30 16:00:00,NH-003